Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Indiana Boro Police Dept,14973,2718.2,360.6,2237.4,120.2,133.6,86.8,0,20,26.7,Pennsylvania,407,54,335,18,20,13,0,3,4,1995
Indiana Boro Police Dept,14953,2581.4,381.2,2053.1,147.1,86.9,80.3,0,6.7,0,Pennsylvania,386,57,307,22,13,12,0,1,0,1996
Indiana Boro Police Dept,14908,0,0,0,0,0,0,0,0,0,Pennsylvania,317,28,278,11,19,19,0,0,0,1997
Indiana Boro Police Dept,14610,2286.1,301.2,1882.3,102.7,143.7,95.8,0,13.7,34.2,Pennsylvania,334,44,275,15,21,14,0,2,5,1998
Indiana Boro Police Dept,14390,2501.7,264.1,2147.3,90.3,215.4,125.1,0,41.7,48.6,Pennsylvania,360,38,309,13,31,18,0,6,7,1999
Indiana Boro Police Dept,14895,1886.5,181.3,1644.8,60.4,255.1,154.4,6.7,67.1,26.9,Pennsylvania,281,27,245,9,38,23,1,10,4,2000
Indiana Boro Police Dept,14902,2811.7,315.4,2409.1,87.2,120.8,53.7,0,47,20.1,Pennsylvania,419,47,359,13,18,8,0,7,3,2001
Indiana Boro Police Dept,14961,2085.4,300.8,1724.5,60.2,294.1,160.4,0,73.5,60.2,Pennsylvania,312,45,258,9,44,24,0,11,9,2002
Indiana Boro Police Dept,14859,2160.3,255.7,1830.5,74,188.4,141.3,0,40.4,6.7,Pennsylvania,321,38,272,11,28,21,0,6,1,2003
Indiana Boro Police Dept,14684,2356.3,306.5,1974.9,74.9,538,422.2,6.8,74.9,34.1,Pennsylvania,346,45,290,11,79,62,1,11,5,2004
Indiana Boro Police Dept,14953,2367.4,361.1,1919.3,86.9,535,407.9,13.4,40.1,73.6,Pennsylvania,354,54,287,13,80,61,2,6,11,2005
Indiana Boro Police Dept,15029,1869.7,292.8,1563.6,13.3,372.6,292.8,0,39.9,39.9,Pennsylvania,281,44,235,2,56,44,0,6,6,2006
Indiana Boro Police Dept,14792,1879.4,446.2,1399.4,33.8,243.4,175.8,0,27,40.6,Pennsylvania,278,66,207,5,36,26,0,4,6,2007
Indiana Boro Police Dept,14823,1956.4,222.6,1700.1,33.7,310.3,215.9,0,47.2,47.2,Pennsylvania,290,33,252,5,46,32,0,7,7,2008
Indiana Boro Police Dept,14727,2383.4,258,2111.8,13.6,943.8,875.9,0,27.2,40.7,Pennsylvania,351,38,311,2,139,129,0,4,6,2009
Indiana Boro Police Dept,13975,2354.2,250.4,2053.7,50.1,1388.2,1309.5,0,42.9,35.8,Pennsylvania,329,35,287,7,194,183,0,6,5,2010
Indiana Boro Police Dept,14020,1918.7,292.4,1604.9,21.4,1340.9,1226.8,0,64.2,49.9,Pennsylvania,269,41,225,3,188,172,0,9,7,2011
Indiana Boro Police Dept,14644,1659.4,245.8,1372.6,41,1372.6,1331.6,0,6.8,34.1,Pennsylvania,243,36,201,6,201,195,0,1,5,2012
Urbandale Police Dept,28478,2753,505.7,2096.4,151,77.3,24.6,0,0,52.7,Iowa,784,144,597,43,22,7,0,0,15,1997
Urbandale Police Dept,27083,3094.2,480,2466.5,147.7,48,14.8,0,0,33.2,Iowa,838,130,668,40,13,4,0,0,9,1998
Urbandale Police Dept,27975,2405.7,393.2,1923.1,89.4,53.6,21.4,0,0,32.2,Iowa,673,110,538,25,15,6,0,0,9,1999
Urbandale Police Dept,29072,2741.5,416.2,2253,72.2,79.1,48.2,0,0,31,Iowa,797,121,655,21,23,14,0,0,9,2000
Urbandale Police Dept,29041,0,0,0,0,0,0,0,0,0,Iowa,420,51,353,16,21,16,0,0,5,2001
Urbandale Police Dept,29176,3358.9,411.3,2800.2,147.4,229.6,188.5,0,13.7,27.4,Iowa,980,120,817,43,67,55,0,4,8,2002
Urbandale Police Dept,31229,2849.9,637.2,2129.4,83.3,233.8,182.5,0,16,35.2,Iowa,890,199,665,26,73,57,0,5,11,2003
Urbandale Police Dept,31980,2304.6,541,1632.3,131.3,225.1,168.9,6.3,21.9,28.1,Iowa,737,173,522,42,72,54,2,7,9,2004
Urbandale Police Dept,33513,1736.6,387.9,1244.3,104.4,116.4,74.6,0,20.9,20.9,Iowa,582,130,417,35,39,25,0,7,7,2005
Urbandale Police Dept,34880,2365.3,415.7,1889.3,60.2,186.4,103.2,0,40.1,43,Iowa,825,145,659,21,65,36,0,14,15,2006
Urbandale Police Dept,38381,1993.2,401.2,1498.1,93.8,174.6,114.6,0,18.2,41.7,Iowa,765,154,575,36,67,44,0,7,16,2007
Urbandale Police Dept,39345,1728.3,343.1,1334.3,50.8,106.7,68.6,2.5,15.2,20.3,Iowa,680,135,525,20,42,27,1,6,8,2008
Urbandale Police Dept,39518,2064.9,369.5,1627.1,68.3,121.5,86,0,17.7,17.7,Iowa,816,146,643,27,48,34,0,7,7,2009
Urbandale Police Dept,39463,1829.6,311.7,1467.2,50.7,147,106.4,0,30.4,10.1,Iowa,722,123,579,20,58,42,0,12,4,2010
Urbandale Police Dept,39670,1598.2,274.8,1262.9,60.5,136.1,103.4,0,20.2,12.6,Iowa,634,109,501,24,54,41,0,8,5,2011
Urbandale Police Dept,40467,1700.2,264.4,1354.2,81.5,140.9,128.5,0,7.4,4.9,Iowa,688,107,548,33,57,52,0,3,2,2012
Waterloo Police Dept,76310,5927.1,1710.1,4048,169,287,115.3,0,22.3,149.4,Iowa,4523,1305,3089,129,219,88,0,17,114,1984
Waterloo Police Dept,75631,5200.2,1426.7,3642.7,130.9,323.9,210.2,2.6,13.2,97.8,Iowa,3933,1079,2755,99,245,159,2,10,74,1985
Waterloo Police Dept,74138,5477.6,1575.4,3726.8,175.3,445.1,321,1.3,39.1,83.6,Iowa,4061,1168,2763,130,330,238,1,29,62,1986
Waterloo Police Dept,69597,5648.2,1852.1,3671.1,125,444,321.9,1.4,25.9,94.8,Iowa,3931,1289,2555,87,309,224,1,18,66,1987
Waterloo Police Dept,69007,6586.3,2023,4398.1,165.2,450.7,221.7,2.9,44.9,181.1,Iowa,4545,1396,3035,114,311,153,2,31,125,1988
Waterloo Police Dept,68189,7193.2,2183.6,4776.4,233.2,406.2,252.2,5.9,36.7,111.5,Iowa,4905,1489,3257,159,277,172,4,25,76,1989
Waterloo Police Dept,66467,6443.8,2199.6,3976.4,267.8,470.9,288.9,9,34.6,138.4,Iowa,4283,1462,2643,178,313,192,6,23,92,1990
Waterloo Police Dept,67309,0,0,0,0,0,0,0,0,0,Iowa,308,68,215,25,26,14,0,3,9,1992
Waterloo Police Dept,67387,6072.4,1656.1,4106.1,310.1,641.1,384.3,13.4,59.4,184,Iowa,4092,1116,2767,209,432,259,9,40,124,1993
Waterloo Police Dept,67746,6186.3,1682.8,4181.8,321.8,541.7,321.8,3,57.6,159.4,Iowa,4191,1140,2833,218,367,218,2,39,108,1994
Waterloo Police Dept,66843,7463.8,1883.5,5185.3,395,686.7,438.3,3,56.8,188.5,Iowa,4989,1259,3466,264,459,293,2,38,126,1995
Waterloo Police Dept,67078,6213.7,1466.9,4383,363.8,617.2,351.8,3,58.1,204.2,Iowa,4168,984,2940,244,414,236,2,39,137,1996
Waterloo Police Dept,67078,5996,1628,4008.8,359.3,585.9,313.1,4.5,56.7,211.7,Iowa,4022,1092,2689,241,393,210,3,38,142,1997
Waterloo Police Dept,64853,6457.7,1555.8,4491.7,410.2,535.1,280.6,1.5,72.5,180.4,Iowa,4188,1009,2913,266,347,182,1,47,117,1998
Waterloo Police Dept,63858,5961.7,1567.5,4016.7,377.4,491.7,277.2,0,56.4,158.2,Iowa,3807,1001,2565,241,314,177,0,36,101,1999
Waterloo Police Dept,68747,5248.2,1364.4,3491.1,392.7,475.7,320,5.8,48,101.8,Iowa,3608,938,2400,270,327,220,4,33,70,2000
Waterloo Police Dept,68673,5635.4,1542.1,3738,355.3,479.1,318.9,2.9,48.1,109.2,Iowa,3870,1059,2567,244,329,219,2,33,75,2001
Waterloo Police Dept,68993,5671.6,1539.3,3775.7,356.6,468.2,287,1.4,52.2,127.5,Iowa,3913,1062,2605,246,323,198,1,36,88,2002
Waterloo Police Dept,67910,5464.6,1357.7,3750.6,356.4,481.5,268,5.9,70.7,136.9,Iowa,3711,922,2547,242,327,182,4,48,93,2003
Waterloo Police Dept,67291,4810.5,1177,3327.3,306.1,481.5,321,4.5,60.9,95.1,Iowa,3237,792,2239,206,324,216,3,41,64,2004
Waterloo Police Dept,67036,4867.5,1238.1,3354.9,274.5,540,362.5,1.5,55.2,120.8,Iowa,3263,830,2249,184,362,243,1,37,81,2005
Waterloo Police Dept,66836,4660.7,1381,3097.1,182.5,523.7,332.2,1.5,64.3,125.7,Iowa,3115,923,2070,122,350,222,1,43,84,2006
Waterloo Police Dept,65607,4879.1,1455.6,3173.4,250,666.1,460.3,6.1,86.9,112.8,Iowa,3201,955,2082,164,437,302,4,57,74,2007
Waterloo Police Dept,66098,4272.4,1178.6,2835.2,258.7,771.6,534.1,3,65.1,169.4,Iowa,2824,779,1874,171,510,353,2,43,112,2008
Waterloo Police Dept,66436,4055,1184.6,2650.7,219.8,901.6,642.7,3,45.2,210.7,Iowa,2694,787,1761,146,599,427,2,30,140,2009
Waterloo Police Dept,68406,3755.5,1191.4,2401.8,162.3,638.8,481,4.4,51.2,102.3,Iowa,2569,815,1643,111,437,329,3,35,70,2010
Waterloo Police Dept,68764,3139.7,978.7,2037.4,123.6,519.2,351.9,4.4,75.6,87.3,Iowa,2159,673,1401,85,357,242,3,52,60,2011
Waterloo Police Dept,68919,3647.8,1201.4,2307.1,139.3,682,483.2,5.8,92.9,100.1,Iowa,2514,828,1590,96,470,333,4,64,69,2012
Waukee Police Dept,2239,1741.8,446.6,1250.6,44.7,223.3,223.3,0,0,0,Iowa,39,10,28,1,5,5,0,0,0,1984
Waukee Police Dept,2219,1352,315.5,1036.5,0,135.2,135.2,0,0,0,Iowa,30,7,23,0,3,3,0,0,0,1985
Waukee Police Dept,2244,1604.3,579.3,1025,0,89.1,44.6,0,44.6,0,Iowa,36,13,23,0,2,1,0,1,0,1986
Waukee Police Dept,2217,1714,676.6,1037.4,0,45.1,45.1,0,0,0,Iowa,38,15,23,0,1,1,0,0,0,1987
Waukee Police Dept,2230,986.5,358.7,627.8,0,134.5,134.5,0,0,0,Iowa,22,8,14,0,3,3,0,0,0,1988
Waukee Police Dept,2265,1368.7,264.9,1059.6,44.2,44.2,44.2,0,0,0,Iowa,31,6,24,1,1,1,0,0,0,1989
Waukee Police Dept,2512,1831.2,358.3,1472.9,0,119.4,119.4,0,0,0,Iowa,46,9,37,0,3,3,0,0,0,1990
Waukee Police Dept,2543,1572.9,78.6,1494.3,0,157.3,157.3,0,0,0,Iowa,40,2,38,0,4,4,0,0,0,1992
Waukee Police Dept,2963,2328.7,270,1991.2,67.5,168.7,135,0,33.7,0,Iowa,69,8,59,2,5,4,0,1,0,1993
Waukee Police Dept,2978,1242.4,201.5,1041,0,100.7,100.7,0,0,0,Iowa,37,6,31,0,3,3,0,0,0,1994
Waukee Police Dept,3132,1341,319.3,862.1,159.6,31.9,31.9,0,0,0,Iowa,42,10,27,5,1,1,0,0,0,1995
Waukee Police Dept,3143,1813.6,509.1,1177.2,127.3,127.3,95.5,0,31.8,0,Iowa,57,16,37,4,4,3,0,1,0,1996
Waukee Police Dept,3143,1209,190.9,922.7,95.5,95.5,63.6,0,31.8,0,Iowa,38,6,29,3,3,2,0,1,0,1997
Waukee Police Dept,3871,1214.2,232.5,930,51.7,129.2,129.2,0,0,0,Iowa,47,9,36,2,5,5,0,0,0,1998
Waukee Police Dept,4351,1356,183.9,1080.2,91.9,0,0,0,0,0,Iowa,59,8,47,4,0,0,0,0,0,1999
Waukee Police Dept,5126,1638.7,273.1,1346.1,19.5,19.5,19.5,0,0,0,Iowa,84,14,69,1,1,1,0,0,0,2000
Waukee Police Dept,5120,1406.3,97.7,1191.4,117.2,19.5,0,0,0,19.5,Iowa,72,5,61,6,1,0,0,0,1,2001
Waukee Police Dept,5144,1185.8,233.3,855.4,97.2,136.1,116.6,0,0,19.4,Iowa,61,12,44,5,7,6,0,0,1,2002
Waukee Police Dept,6595,985.6,91,803.6,91,15.2,15.2,0,0,0,Iowa,65,6,53,6,1,1,0,0,0,2003
Waukee Police Dept,7313,1969.1,341.9,1490.5,136.7,13.7,13.7,0,0,0,Iowa,144,25,109,10,1,1,0,0,0,2004
Waukee Police Dept,8501,2540.9,694,1752.7,94.1,47.1,35.3,0,11.8,0,Iowa,216,59,149,8,4,3,0,1,0,2005
Waukee Police Dept,9262,2051.4,583,1360.4,108,205.1,183.5,0,10.8,10.8,Iowa,190,54,126,10,19,17,0,1,1,2006
Waukee Police Dept,11945,1892,452.1,1347.8,92.1,184.2,150.7,0,33.5,0,Iowa,226,54,161,11,22,18,0,4,0,2007
Waukee Police Dept,13279,1822.4,783.2,1016.6,22.6,90.4,75.3,0,7.5,7.5,Iowa,242,104,135,3,12,10,0,1,1,2008
Waukee Police Dept,13558,1777.5,796.6,966.2,14.8,132.8,118,0,14.8,0,Iowa,241,108,131,2,18,16,0,2,0,2009
Waukee Police Dept,13790,1522.8,442.3,1051.5,29,116,101.5,0,14.5,0,Iowa,210,61,145,4,16,14,0,2,0,2010
Waukee Police Dept,13862,1305.7,418.4,844,43.3,115.4,115.4,0,0,0,Iowa,181,58,117,6,16,16,0,0,0,2011
Waukee Police Dept,14540,997.2,227,742.8,27.5,61.9,61.9,0,0,0,Iowa,145,33,108,4,9,9,0,0,0,2012
West Des Moines Police Dept,21950,5763.1,1025.1,4487.5,250.6,268.8,205,0,9.1,54.7,Iowa,1265,225,985,55,59,45,0,2,12,1984
West Des Moines Police Dept,21755,7046.7,1512.3,5295.3,239,285,229.8,4.6,4.6,46,Iowa,1533,329,1152,52,62,50,1,1,10,1985
West Des Moines Police Dept,22491,7656.4,1667.3,5837.9,151.2,253.4,151.2,4.4,17.8,80,Iowa,1722,375,1313,34,57,34,1,4,18,1986
West Des Moines Police Dept,23650,7619.5,1348.8,6097.3,173.4,126.8,21.1,0,8.5,97.3,Iowa,1802,319,1442,41,30,5,0,2,23,1987
West Des Moines Police Dept,24049,7272.7,1334.8,5742.4,195.4,149.7,79,4.2,4.2,62.4,Iowa,1749,321,1381,47,36,19,1,1,15,1988
West Des Moines Police Dept,26474,6262.7,1016.1,5152.2,94.4,238,132.2,0,15.1,90.7,Iowa,1658,269,1364,25,63,35,0,4,24,1989
West Des Moines Police Dept,31702,5513.8,813.8,4567.5,132.5,173.5,104.1,0,6.3,63.1,Iowa,1748,258,1448,42,55,33,0,2,20,1990
West Des Moines Police Dept,32104,0,0,0,0,0,0,0,0,0,Iowa,14,0,14,0,0,0,0,0,0,1992
West Des Moines Police Dept,34505,3715.4,626,2961.9,127.5,159.4,127.5,0,14.5,17.4,Iowa,1282,216,1022,44,55,44,0,5,6,1993
West Des Moines Police Dept,34688,4243.5,775.5,3315.3,152.8,175.9,164.3,0,5.8,5.8,Iowa,1472,269,1150,53,61,57,0,2,2,1994
West Des Moines Police Dept,37414,4546.4,799.2,3488,259.3,302,259.3,0,0,42.8,Iowa,1701,299,1305,97,113,97,0,0,16,1995
West Des Moines Police Dept,37545,4048.5,705.8,3126.9,215.7,189.1,162.5,0,0,26.6,Iowa,1520,265,1174,81,71,61,0,0,10,1996
West Des Moines Police Dept,37545,4701,753.8,3739.5,207.8,210.4,165.1,0,0,45.3,Iowa,1765,283,1404,78,79,62,0,0,17,1997
West Des Moines Police Dept,40652,3780.9,654.3,2951.9,174.7,253.4,194.3,2.5,14.8,41.8,Iowa,1537,266,1200,71,103,79,1,6,17,1998
West Des Moines Police Dept,42436,3534.7,596.2,2801.9,136.7,150.8,113.1,4.7,11.8,21.2,Iowa,1500,253,1189,58,64,48,2,5,9,1999
West Des Moines Police Dept,46403,3730.4,502.1,3098.9,129.3,144.4,99.1,0,10.8,34.5,Iowa,1731,233,1438,60,67,46,0,5,16,2000
West Des Moines Police Dept,46353,3825,412.1,3214.5,198.5,166.1,103.6,0,12.9,49.6,Iowa,1773,191,1490,92,77,48,0,6,23,2001
West Des Moines Police Dept,46568,3783.7,466,3154.5,163.2,103.1,60.1,2.1,8.6,32.2,Iowa,1762,217,1469,76,48,28,1,4,15,2002
West Des Moines Police Dept,50085,3577.9,618.9,2813.2,145.8,139.8,99.8,2,18,20,Iowa,1792,310,1409,73,70,50,1,9,10,2003
West Des Moines Police Dept,51881,3124.5,520.4,2480.7,123.4,171.5,121.4,0,34.7,15.4,Iowa,1621,270,1287,64,89,63,0,18,8,2004
West Des Moines Police Dept,51570,3504,541,2829.2,133.8,170.6,122.2,0,27.1,21.3,Iowa,1807,279,1459,69,88,63,0,14,11,2005
West Des Moines Police Dept,53048,3485.5,454.3,2903,128.2,184.7,130.1,0,37.7,17,Iowa,1849,241,1540,68,98,69,0,20,9,2006
West Des Moines Police Dept,54988,2893.4,411,2398.7,83.7,165.5,105.5,3.6,29.1,27.3,Iowa,1591,226,1319,46,91,58,2,16,15,2007
West Des Moines Police Dept,55765,3200.9,392.7,2723.9,84.3,238.5,152.4,1.8,34.1,50.2,Iowa,1785,219,1519,47,133,85,1,19,28,2008
West Des Moines Police Dept,56400,3200.4,356.4,2773,70.9,133,88.7,0,33.7,10.6,Iowa,1805,201,1564,40,75,50,0,19,6,2009
West Des Moines Police Dept,56609,3079,305.6,2690.4,83,194.3,134.3,0,40.6,19.4,Iowa,1743,173,1523,47,110,76,0,23,11,2010
West Des Moines Police Dept,56905,3205.3,395.4,2748.4,61.5,202.1,131.8,1.8,45.7,22.8,Iowa,1824,225,1564,35,115,75,1,26,13,2011
West Des Moines Police Dept,58134,3139.3,366.4,2686.9,86,163.4,122.1,0,27.5,13.8,Iowa,1825,213,1562,50,95,71,0,16,8,2012
Topeka Police Dept,120725,9253.3,2919,5920.9,413.3,1181.2,827.5,13.3,65.4,275,Kansas,11171,3524,7148,499,1426,999,16,79,332,1991
Topeka Police Dept,122079,8681.3,2971,5343.3,367,1332.7,956.8,6.6,67.2,302.3,Kansas,10598,3627,6523,448,1627,1168,8,82,369,1992
Topeka Police Dept,121021,0,0,0,0,0,0,0,0,0,Kansas,5137,1726,3217,194,826,608,12,44,162,1993
Topeka Police Dept,121165,11904.4,4864.4,6218.8,821.2,1243.8,746.9,7.4,73.5,416,Kansas,14424,5894,7535,995,1507,905,9,89,504,1995
Topeka Police Dept,121495,11434.2,2932.6,7950.1,551.5,1236.3,710.3,14,73.3,438.7,Kansas,13892,3563,9659,670,1502,863,17,89,533,1996
Topeka Police Dept,122581,11722,2489.8,8675.9,556.4,1285.7,798.7,6.5,85.7,394.8,Kansas,14369,3052,10635,682,1576,979,8,105,484,1997
Topeka Police Dept,121352,11504.5,2434.2,8396.2,674.1,1268.2,830.6,13.2,82.4,342,Kansas,13961,2954,10189,818,1539,1008,16,100,415,1998
Topeka Police Dept,120108,10192.5,2028.2,7582.3,582,922.5,512,12.5,84.1,313.9,Kansas,12242,2436,9107,699,1108,615,15,101,377,1999
Topeka Police Dept,122377,9624.4,2228.4,6591.9,804.1,1044.3,594.1,14.7,49.8,385.7,Kansas,11778,2727,8067,984,1278,727,18,61,472,2000
Topeka Police Dept,122660,8523.6,1668,6222.1,633.5,876.4,498.1,17.9,68.5,291.9,Kansas,10455,2046,7632,777,1075,611,22,84,358,2001
Topeka Police Dept,123627,8335.6,1429.3,6360.3,546,800,403.6,6.5,59,330.8,Kansas,10305,1767,7863,675,989,499,8,73,409,2002
Topeka Police Dept,122446,7520,1239.7,5866.3,414.1,594.5,295.6,13.1,42.5,243.4,Kansas,9208,1518,7183,507,728,362,16,52,298,2003
Topeka Police Dept,122545,7379.3,1143.3,5698.3,537.8,519,270.9,6.5,40.8,200.7,Kansas,9043,1401,6983,659,636,332,8,50,246,2004
Topeka Police Dept,122218,7905.5,1406.5,5927.1,571.9,558,286.4,5.7,40.9,225,Kansas,9662,1719,7244,699,682,350,7,50,275,2005
Topeka Police Dept,122807,7123.4,1203.5,5410.9,508.9,544.8,238.6,7.3,46.4,252.4,Kansas,8748,1478,6645,625,669,293,9,57,310,2006
Topeka Police Dept,121885,6378.1,1168.3,4632.2,577.6,589.9,288.8,9.8,38.6,252.7,Kansas,7774,1424,5646,704,719,352,12,47,308,2007
Topeka Police Dept,122554,5969.6,1273.7,4134.5,561.4,496.9,235.8,8.2,28.6,224.4,Kansas,7316,1561,5067,688,609,289,10,35,275,2008
Topeka Police Dept,123449,5429,1347.1,3752.2,329.7,579.2,291.6,8.1,35.6,243.8,Kansas,6702,1663,4632,407,715,360,10,44,301,2009
Topeka Police Dept,127473,5888.3,1253.6,4239.3,395.4,545.2,321.6,9.4,40,174.2,Kansas,7506,1598,5404,504,695,410,12,51,222,2010
Topeka Police Dept,128283,5869.1,1346.2,4063.7,459.1,544.1,307.9,11.7,41.3,183.2,Kansas,7529,1727,5213,589,698,395,15,53,235,2011
Topeka Police Dept,128843,5309.6,991.1,3855.1,463.4,599.2,373.3,11.6,30.3,183.9,Kansas,6841,1277,4967,597,772,481,15,39,237,2012
Wichita Police Dept,291555,6995.9,1556.1,5104.7,335.1,455.5,225.7,4.1,71,154.7,Kansas,20397,4537,14883,977,1328,658,12,207,451,1984
Wichita Police Dept,284915,7047.4,1699.5,4953.8,394.2,586.8,245,9.1,87.4,245.3,Kansas,20079,4842,14114,1123,1672,698,26,249,699,1985
Wichita Police Dept,286163,7801.8,1758.8,5569.9,473.2,535,231,8,91.2,204.8,Kansas,22326,5033,15939,1354,1531,661,23,261,586,1986
Wichita Police Dept,290702,8007.2,1926.7,5616.1,464.4,538.7,244.6,8.3,82.6,203.3,Kansas,23277,5601,16326,1350,1566,711,24,240,591,1987
Wichita Police Dept,292733,7514.4,1937.3,5095.4,481.7,565.4,264.4,5.1,81.3,214.5,Kansas,21997,5671,14916,1410,1655,774,15,238,628,1988
Wichita Police Dept,297391,8145.5,2127.5,5361.3,656.7,774.1,349,9.8,89.1,326.2,Kansas,24224,6327,15944,1953,2302,1038,29,265,970,1989
Wichita Police Dept,304011,8207.6,2049.3,5443.9,714.4,720,253.6,5.9,105.6,354.9,Kansas,24952,6230,16550,2172,2189,771,18,321,1079,1990
Wichita Police Dept,306339,8957.7,2434.9,5578.5,944.4,872.2,313.4,7.8,92.7,458.3,Kansas,27441,7459,17089,2893,2672,960,24,284,1404,1991
Wichita Police Dept,309955,8234.4,2101.6,5216.6,916.3,888.5,364.6,9.4,82.3,432.3,Kansas,25523,6514,16169,2840,2754,1130,29,255,1340,1992
Wichita Police Dept,313597,7970.1,1864.5,5186.3,919.3,874.7,351.7,15.3,84.5,423.2,Kansas,24994,5847,16264,2883,2743,1103,48,265,1327,1993
Wichita Police Dept,316629,8466.1,2053.2,5328.9,1083.9,742.2,323.4,13.3,70.7,334.8,Kansas,26806,6501,16873,3432,2350,1024,42,224,1060,1994
Wichita Police Dept,311675,7520.7,1721,4950.3,849.3,701.1,335.6,13.2,65.1,287.2,Kansas,23440,5364,15429,2647,2185,1046,41,203,895,1995
Wichita Police Dept,312706,7198.1,1660.7,4776.4,761.1,758.5,415.1,7.7,72.6,263.2,Kansas,22509,5193,14936,2380,2372,1298,24,227,823,1996
Wichita Police Dept,315690,7204.5,1510.7,4976.4,717.5,833.4,469.1,10.1,72.2,281.9,Kansas,22744,4769,15710,2265,2631,1481,32,228,890,1997
Wichita Police Dept,329179,6413.8,1432.7,4375.7,605.4,665.3,357.6,9.4,56.8,241.5,Kansas,21113,4716,14404,1993,2190,1177,31,187,795,1998
Wichita Police Dept,332286,5733,1200.8,4029.1,503.2,579.9,310.3,8.1,50.9,210.7,Kansas,19050,3990,13388,1672,1927,1031,27,169,700,1999
Wichita Police Dept,344284,5689.5,1091.3,4111.1,487.1,604.4,371.5,9,51.1,172.8,Kansas,19588,3757,14154,1677,2081,1279,31,176,595,2000
Wichita Police Dept,345081,6119.7,1281.4,4333.2,505.1,707.9,435,4.9,53,215,Kansas,21118,4422,14953,1743,2443,1501,17,183,742,2001
Wichita Police Dept,347801,6249.6,1282.1,4463.2,504.3,680.8,386.4,5.8,59.8,228.9,Kansas,21736,4459,15523,1754,2368,1344,20,208,796,2002
Wichita Police Dept,356123,5518,1079.1,4032.9,406,625.9,403,5.1,61.8,156.1,Kansas,19651,3843,14362,1446,2229,1435,18,220,556,2003
Wichita Police Dept,356179,6083.5,1105.9,4477.8,499.7,810.5,558.7,8.1,67.7,176,Kansas,21668,3939,15949,1780,2887,1990,29,241,627,2004
Wichita Police Dept,355011,4699.3,983.3,3230.9,485.1,740.8,547,3.4,50.7,139.7,Kansas,16683,3491,11470,1722,2630,1942,12,180,496,2005
Wichita Police Dept,357372,5492.3,1066.1,3871.9,554.3,930.4,709.1,7.3,68.6,145.5,Kansas,19628,3810,13837,1981,3325,2534,26,245,520,2006
Wichita Police Dept,358294,5804.5,1217.4,3990,597,946.4,702.2,11.2,77.6,155.5,Kansas,20797,4362,14296,2139,3391,2516,40,278,557,2007
Wichita Police Dept,362602,5537.2,1125.5,3897.4,514.3,854.1,635.1,8.3,77.8,132.9,Kansas,20078,4081,14132,1865,3097,2303,30,282,482,2008
Wichita Police Dept,367635,5346.6,1102.7,3788.5,455.3,885.4,664,6.8,71.3,143.3,Kansas,19656,4054,13928,1674,3255,2441,25,262,527,2009
Wichita Police Dept,382368,4786,1111,3273,402,794.5,598.9,4.2,65.6,125.8,Kansas,18300,4248,12515,1537,3038,2290,16,251,481,2010
Wichita Police Dept,384796,5056.2,1040.8,3521.3,494,766.6,571,6.5,61.9,127.3,Kansas,19456,4005,13550,1901,2950,2197,25,238,490,2011
Wichita Police Dept,386409,5452.8,1014.2,3967.6,471,742.5,549.4,6,59,128.1,Kansas,21070,3919,15331,1820,2869,2123,23,228,495,2012
Winfield Police Dept,12321,2507.9,413.9,2045.3,48.7,56.8,48.7,8.1,0,0,Kansas,309,51,252,6,7,6,1,0,0,1984
Winfield Police Dept,12383,2640.7,508.8,2051.2,80.8,64.6,64.6,0,0,0,Kansas,327,63,254,10,8,8,0,0,0,1985
Winfield Police Dept,11881,3206.8,563.9,2525,117.8,101,75.8,0,16.8,8.4,Kansas,381,67,300,14,12,9,0,2,1,1986
Winfield Police Dept,11724,3573.9,767.7,2738,68.2,110.9,85.3,0,25.6,0,Kansas,419,90,321,8,13,10,0,3,0,1987
Winfield Police Dept,11666,2871.6,634.3,2040.1,197.2,94.3,60,0,8.6,25.7,Kansas,335,74,238,23,11,7,0,1,3,1988
Winfield Police Dept,11389,3845.8,807.8,2941.4,96.6,79,43.9,8.8,17.6,8.8,Kansas,438,92,335,11,9,5,1,2,1,1989
Winfield Police Dept,11931,4140.5,1240.5,2782.7,117.3,167.6,125.7,0,33.5,8.4,Kansas,494,148,332,14,20,15,0,4,1,1990
Winfield Police Dept,12014,3645.7,1098.7,2322.3,224.7,124.9,99.9,0,25,0,Kansas,438,132,279,27,15,12,0,3,0,1991
Winfield Police Dept,12148,3885.4,732.6,3045.8,107,107,90.5,8.2,8.2,0,Kansas,472,89,370,13,13,11,1,1,0,1992
Winfield Police Dept,12206,0,0,0,0,0,0,0,0,0,Kansas,110,17,90,3,14,12,0,2,0,2000
Winfield Police Dept,12234,0,0,0,0,0,0,0,0,0,Kansas,14,3,11,0,1,0,0,0,1,2001
Winfield Police Dept,12248,0,0,0,0,0,0,0,0,0,Kansas,12,2,10,0,0,0,0,0,0,2003
